ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,431.66275,511.3296,0.039215688,0.32258064
1,1,1,1,MOVE,17,431.66275,511.3296,0.07058824,0.58064514
1,1,1,1,MOVE,33,431.66275,511.3296,0.13725491,0.12903225
1,1,1,1,MOVE,50,431.66275,511.3296,0.16862746,0.16129032
1,1,1,1,MOVE,66,431.66275,511.3296,0.227451,0.22580644
1,1,1,1,MOVE,83,431.66275,511.3296,0.2509804,0.2580645
1,1,1,1,MOVE,99,431.66275,511.3296,0.2901961,0.29032257
1,1,1,1,MOVE,116,432.55405,511.3296,0.30588236,0.29032257
1,1,1,1,MOVE,132,434.09198,509.90027,0.33333334,0.32258064
1,1,1,1,MOVE,149,435.6537,509.33807,0.34509805,0.3548387
1,1,1,1,MOVE,165,437.19928,508.33337,0.3647059,0.3548387
1,1,1,1,MOVE,182,438.74976,507.2422,0.3803922,0.38709676
1,1,1,1,MOVE,199,440.95697,505.6859,0.38823533,0.38709676
1,1,1,1,MOVE,215,445.2361,502.9508,0.40000004,0.38709676
1,1,1,1,MOVE,232,451.6508,500.84088,0.4039216,0.38709676
1,1,1,1,MOVE,248,457.83643,496.45264,0.41176474,0.41935483
1,1,1,1,MOVE,265,465.92136,491.78278,0.4156863,0.41935483
1,1,1,1,MOVE,281,475.07306,485.73215,0.427451,0.41935483
1,1,1,1,MOVE,298,485.35995,479.5184,0.43137258,0.41935483
1,1,1,1,MOVE,314,493.7404,473.29306,0.43921572,0.4516129
1,1,1,1,MOVE,331,503.01868,466.04312,0.44705886,0.4516129
1,1,1,1,MOVE,348,512.33813,458.28058,0.44705886,0.4516129
1,1,1,1,MOVE,364,521.70374,449.2958,0.44705886,0.4516129
1,1,1,1,MOVE,381,530.95654,441.0461,0.45098042,0.4516129
1,1,1,1,MOVE,397,538.9295,431.80838,0.45098042,0.4516129
1,1,1,1,MOVE,414,547.7229,423.45844,0.45098042,0.4516129
1,1,1,1,MOVE,430,554.0859,415.55087,0.45098042,0.4516129
1,1,1,1,MOVE,447,561.3072,406.77814,0.45098042,0.4516129
1,1,1,1,MOVE,464,567.4928,397.56763,0.45098042,0.4516129
1,1,1,1,MOVE,480,573.6755,389.29666,0.45098042,0.4516129
1,1,1,1,MOVE,497,578.91327,380.94427,0.45098042,0.4516129
1,1,1,1,MOVE,513,585.14325,371.60373,0.45098042,0.4516129
1,1,1,1,MOVE,530,591.63983,362.31186,0.454902,0.4516129
1,1,1,1,MOVE,546,596.2683,354.30228,0.46274513,0.4516129
1,1,1,1,MOVE,563,600.93256,344.7337,0.4666667,0.4516129
1,1,1,1,MOVE,580,605.5992,335.40494,0.4666667,0.4516129
1,1,1,1,MOVE,596,609.34576,328.00415,0.4666667,0.4516129
1,1,1,1,MOVE,613,613.9303,320.21866,0.47058827,0.48387095
1,1,1,1,MOVE,629,616.56506,312.46143,0.47058827,0.48387095
1,1,1,1,MOVE,646,620.65063,304.749,0.47058827,0.48387095
1,1,1,1,MOVE,662,623.75,298.12146,0.47058827,0.48387095
1,1,1,1,MOVE,679,626.86237,291.89963,0.47058827,0.48387095
1,1,1,1,MOVE,695,629.94867,285.7299,0.47450984,0.48387095
1,1,1,1,MOVE,712,633.0803,279.46964,0.47450984,0.48387095
1,1,1,1,MOVE,729,636.15826,274.6426,0.48235297,0.48387095
1,1,1,1,MOVE,745,638.3869,268.97568,0.48627454,0.48387095
1,1,1,1,MOVE,762,639.9379,264.32468,0.4901961,0.48387095
1,1,1,1,MOVE,778,641.49927,260.64166,0.49803925,0.48387095
1,1,1,1,MOVE,795,642.49805,256.55728,0.5019608,0.516129
1,1,1,1,MOVE,811,643.6073,253.43173,0.50980395,0.516129
1,1,1,1,MOVE,828,643.49725,251.3446,0.5137255,0.516129
1,1,1,1,MOVE,844,644.6881,248.27478,0.5176471,0.516129
1,1,1,1,MOVE,861,644.49646,246.89981,0.5176471,0.516129
1,1,1,1,MOVE,878,644.49646,245.3628,0.5254902,0.516129
1,1,1,1,MOVE,894,644.49646,244.80035,0.5254902,0.516129
1,1,1,1,MOVE,911,644.49646,243.25012,0.5294118,0.516129
1,1,1,1,MOVE,927,644.49646,242.69647,0.53333336,0.54838705
1,1,1,1,MOVE,944,644.49646,241.66669,0.5411765,0.54838705
1,1,1,1,MOVE,960,644.49646,240.59991,0.54901963,0.54838705
1,1,1,1,MOVE,977,644.49646,239.66916,0.5529412,0.54838705
1,1,1,1,MOVE,994,644.49646,238.48972,0.56078434,0.54838705
1,1,1,1,MOVE,1010,644.49646,237.67166,0.56078434,0.54838705
1,1,1,1,MOVE,1027,644.49646,236.40283,0.56078434,0.54838705
1,1,1,1,MOVE,1043,644.49646,235.67416,0.56078434,0.54838705
1,1,1,1,MOVE,1060,644.49646,234.28366,0.56078434,0.54838705
1,1,1,1,MOVE,1076,644.49646,233.67667,0.56078434,0.54838705
1,1,1,1,MOVE,1093,644.49646,233.67667,0.56078434,0.54838705
1,1,1,1,MOVE,1109,644.49646,232.63742,0.56078434,0.54838705
1,1,1,1,MOVE,1126,644.49646,232.67792,0.56078434,0.54838705
1,1,1,1,MOVE,1143,644.49646,232.67792,0.56078434,0.54838705
1,1,1,1,MOVE,1159,644.49646,232.67792,0.56078434,0.54838705
1,1,1,1,MOVE,1176,644.49646,232.67792,0.56078434,0.54838705
1,1,1,1,MOVE,1192,644.49646,232.67792,0.56078434,0.54838705
1,1,1,1,MOVE,1209,644.49646,232.67792,0.56078434,0.54838705
1,1,1,1,MOVE,1225,644.49646,231.75995,0.56078434,0.54838705
1,1,1,1,MOVE,1242,644.49646,231.67917,0.56078434,0.54838705
1,1,1,1,MOVE,1259,644.49646,230.64865,0.56078434,0.54838705
1,1,1,1,MOVE,1275,644.49646,230.6804,0.56078434,0.54838705
1,1,1,1,MOVE,1292,644.49646,230.6804,0.56078434,0.54838705
1,1,1,1,MOVE,1308,644.49646,229.68166,0.56078434,0.54838705
1,1,1,1,MOVE,1325,644.49646,229.68166,0.56078434,0.54838705
1,1,1,1,MOVE,1341,644.49646,229.68166,0.56078434,0.54838705
1,1,1,1,MOVE,1358,644.49646,228.34573,0.56078434,0.54838705
1,1,1,1,MOVE,1374,644.49646,228.6829,0.56078434,0.54838705
1,1,1,1,MOVE,1391,644.49646,227.24103,0.56078434,0.54838705
1,1,1,1,MOVE,1408,644.49646,227.68414,0.56078434,0.54838705
1,1,1,1,MOVE,1424,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1441,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1457,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1474,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1490,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1507,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1524,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1540,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1557,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1573,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1590,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1606,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1623,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1640,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1656,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1673,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1689,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1706,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1722,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1739,644.49646,226.6854,0.56078434,0.54838705
1,1,1,1,MOVE,1755,644.49646,226.0721,0.56078434,0.54838705
1,1,1,1,MOVE,1772,644.49646,225.68665,0.56078434,0.54838705
1,1,1,1,MOVE,1789,644.49646,225.68665,0.56078434,0.54838705
1,1,1,1,MOVE,1805,644.49646,225.68665,0.56078434,0.54838705
1,1,1,1,MOVE,1822,644.49646,225.68665,0.56078434,0.54838705
1,1,1,1,MOVE,1838,644.49646,225.68665,0.56078434,0.54838705
1,1,1,1,MOVE,1855,644.49646,224.6879,0.56078434,0.54838705
1,1,1,1,MOVE,1871,644.49646,224.6879,0.56078434,0.54838705
1,1,1,1,MOVE,1888,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,1904,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,1921,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,1938,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,1954,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,1971,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,1987,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2004,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2020,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2037,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2054,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2070,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2087,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2103,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2120,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2136,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2153,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2170,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2186,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2203,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2219,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2236,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2252,644.49646,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2269,643.49725,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2285,643.49725,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2302,642.6288,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2319,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2335,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2352,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2368,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2385,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2401,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2418,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2434,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2451,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2468,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2484,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2501,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2517,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2534,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2550,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2567,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2583,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2600,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2617,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2633,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2650,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2666,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2683,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2699,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2716,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2733,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2749,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2766,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2782,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2799,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2815,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2832,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2849,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2859,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2882,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2908,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2931,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2948,642.49805,223.68915,0.56078434,0.54838705
1,1,1,1,MOVE,2980,642.49805,222.35727,0.56078434,0.54838705
1,1,1,1,MOVE,2998,642.49805,222.6904,0.56078434,0.54838705
1,1,1,1,MOVE,3027,642.49805,222.6904,0.54509807,0.54838705
1,1,1,1,MOVE,3047,642.49805,222.6904,0.54509807,0.54838705
1,1,1,1,MOVE,3075,642.49805,222.6904,0.5294118,0.516129
1,1,1,1,MOVE,3097,642.49805,222.6904,0.5058824,0.516129
1,1,1,1,MOVE,3122,641.1598,222.6904,0.48235297,0.48387095
1,1,1,1,MOVE,3146,641.49884,222.6904,0.45882356,0.4516129
1,1,1,1,MOVE,3163,641.49884,222.6904,0.43921572,0.4516129
1,1,1,1,MOVE,3193,641.49884,222.6904,0.42352945,0.41935483
1,1,1,1,MOVE,3213,641.49884,222.6904,0.40784317,0.41935483
1,1,1,1,MOVE,3241,640.16144,222.6904,0.3921569,0.38709676
1,1,1,1,MOVE,3263,640.49963,222.6904,0.3803922,0.38709676
1,1,1,1,MOVE,3288,640.49963,222.6904,0.36862746,0.3548387
1,1,1,1,MOVE,3311,640.49963,222.6904,0.35686275,0.3548387
1,1,1,1,MOVE,3329,640.49963,222.6904,0.34901962,0.3548387
1,1,1,1,MOVE,3359,640.49963,222.6904,0.34117648,0.32258064
1,1,1,1,MOVE,3379,640.49963,222.6904,0.33333334,0.32258064
1,1,1,1,MOVE,3406,640.49963,222.6904,0.3254902,0.32258064
1,1,1,1,MOVE,3428,640.49963,222.6904,0.31764707,0.32258064
1,1,1,1,UP,3436,640.49963,222.6904,0.31764707,0.32258064
2,1,1,2,DOWN,0,253.80171,423.43945,0.054901965,0.4516129
2,1,1,2,MOVE,21,253.80171,423.43945,0.14509805,0.12903225
2,1,1,2,MOVE,37,253.80171,423.43945,0.18431373,0.16129032
2,1,1,2,MOVE,54,253.80171,423.43945,0.24705884,0.22580644
2,1,1,2,MOVE,70,253.80171,423.43945,0.27450982,0.2580645
2,1,1,2,MOVE,87,254.98683,423.43945,0.31764707,0.32258064
2,1,1,2,MOVE,103,256.528,424.4382,0.3372549,0.32258064
2,1,1,2,MOVE,120,258.0667,424.4382,0.36862746,0.3548387
2,1,1,2,MOVE,137,261.28503,426.26563,0.3803922,0.38709676
2,1,1,2,MOVE,153,265.94012,427.81665,0.4039216,0.38709676
2,1,1,2,MOVE,170,271.5938,431.3003,0.41176474,0.41935483
2,1,1,2,MOVE,186,276.24973,434.4028,0.427451,0.41935483
2,1,1,2,MOVE,203,284.9735,438.53827,0.43921572,0.4516129
2,1,1,2,MOVE,219,297.5333,443.2019,0.4431373,0.4516129
2,1,1,2,MOVE,236,311.14838,449.0259,0.45098042,0.4516129
2,1,1,2,MOVE,252,324.07092,454.2117,0.454902,0.4516129
2,1,1,2,MOVE,269,337.94144,459.12997,0.45882356,0.4516129
2,1,1,2,MOVE,286,356.40805,463.8106,0.46274513,0.4516129
2,1,1,2,MOVE,302,373.61838,467.09586,0.46274513,0.4516129
2,1,1,2,MOVE,319,388.6833,470.19684,0.46274513,0.4516129
2,1,1,2,MOVE,335,405.93658,473.33234,0.47058827,0.48387095
2,1,1,2,MOVE,352,422.95682,476.43066,0.4784314,0.48387095
2,1,1,2,MOVE,368,436.7358,477.93546,0.4784314,0.48387095
2,1,1,2,MOVE,385,450.7019,480.60223,0.4784314,0.48387095
2,1,1,2,MOVE,402,462.04205,482.0416,0.48235297,0.48387095
2,1,1,2,MOVE,418,473.1645,483.58347,0.4901961,0.48387095
2,1,1,2,MOVE,435,484.27362,485.13766,0.4901961,0.48387095
2,1,1,2,MOVE,451,493.53357,485.36206,0.4901961,0.48387095
2,1,1,2,MOVE,468,502.0224,487.2426,0.4901961,0.48387095
2,1,1,2,MOVE,484,511.1828,487.35956,0.4901961,0.48387095
2,1,1,2,MOVE,501,518.5484,489.34778,0.4901961,0.48387095
2,1,1,2,MOVE,517,527.33716,490.35583,0.49411768,0.48387095
2,1,1,2,MOVE,534,535.0149,491.44104,0.49411768,0.48387095
2,1,1,2,MOVE,551,543.14856,491.35455,0.49411768,0.48387095
2,1,1,2,MOVE,567,549.35547,492.54926,0.49411768,0.48387095
2,1,1,2,MOVE,584,555.56714,492.35333,0.49411768,0.48387095
2,1,1,2,MOVE,600,561.7273,493.6432,0.49411768,0.48387095
2,1,1,2,MOVE,617,567.1,493.35205,0.49411768,0.48387095
2,1,1,2,MOVE,633,571.7625,494.75342,0.49803925,0.48387095
2,1,1,2,MOVE,650,575.4009,494.35083,0.49803925,0.48387095
2,1,1,2,MOVE,667,580.0469,494.35083,0.49803925,0.48387095
2,1,1,2,MOVE,683,583.6348,495.34955,0.49803925,0.48387095
2,1,1,2,MOVE,700,588.3672,496.95654,0.49803925,0.48387095
2,1,1,2,MOVE,716,594.1869,498.50842,0.5019608,0.516129
2,1,1,2,MOVE,733,597.66345,499.0551,0.5019608,0.516129
2,1,1,2,MOVE,749,601.04156,499.3446,0.5019608,0.516129
2,1,1,2,MOVE,766,604.9649,501.15485,0.5058824,0.516129
2,1,1,2,MOVE,783,608.2701,502.71295,0.5058824,0.516129
2,1,1,2,MOVE,799,612.29144,504.26166,0.5058824,0.516129
2,1,1,2,MOVE,816,615.46204,505.80792,0.50980395,0.516129
2,1,1,2,MOVE,832,618.57544,507.3639,0.50980395,0.516129
2,1,1,2,MOVE,849,621.66003,508.90552,0.50980395,0.516129
2,1,1,2,MOVE,865,624.75397,510.45178,0.50980395,0.516129
2,1,1,2,MOVE,882,627.8768,512.0124,0.50980395,0.516129
2,1,1,2,MOVE,898,630.9443,513.5454,0.50980395,0.516129
2,1,1,2,MOVE,915,634.0622,515.10364,0.50980395,0.516129
2,1,1,2,MOVE,931,637.1677,516.6557,0.50980395,0.516129
2,1,1,2,MOVE,948,638.3843,518.204,0.50980395,0.516129
2,1,1,2,MOVE,965,639.9421,518.32086,0.50980395,0.516129
2,1,1,2,MOVE,981,641.494,519.31964,0.50980395,0.516129
2,1,1,2,MOVE,998,643.04,520.86005,0.50980395,0.516129
2,1,1,2,MOVE,1014,643.49725,522.40247,0.50980395,0.516129
2,1,1,2,MOVE,1031,644.49646,523.95966,0.50980395,0.516129
2,1,1,2,MOVE,1047,644.49646,525.49774,0.5176471,0.516129
2,1,1,2,MOVE,1064,645.4957,527.05347,0.5176471,0.516129
2,1,1,2,MOVE,1081,645.4957,528.60284,0.5176471,0.516129
2,1,1,2,MOVE,1097,646.49493,530.15375,0.52156866,0.516129
2,1,1,2,MOVE,1114,646.49493,531.7075,0.5294118,0.516129
2,1,1,2,MOVE,1130,646.49493,532.2551,0.53333336,0.54838705
2,1,1,2,MOVE,1147,646.49493,532.8064,0.5372549,0.54838705
2,1,1,2,MOVE,1163,646.49493,534.34937,0.5411765,0.54838705
2,1,1,2,MOVE,1180,646.49493,534.3009,0.5411765,0.54838705
2,1,1,2,MOVE,1197,646.49493,534.3009,0.54509807,0.54838705
2,1,1,2,MOVE,1213,646.49493,534.3009,0.54901963,0.54838705
2,1,1,2,MOVE,1230,646.49493,534.3009,0.5568628,0.54838705
2,1,1,2,MOVE,1246,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1263,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1279,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1296,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1312,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1329,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1346,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1362,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1379,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1395,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1412,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1428,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1445,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1462,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1478,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1495,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1511,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1528,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1544,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1561,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1577,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1594,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1611,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1627,646.49493,534.3009,0.56078434,0.54838705
2,1,1,2,MOVE,1644,646.49493,534.3009,0.56078434,0.54838705
